,Title,Year,in_criterion
0,(nostalgia),1971,False
1,(The [End) of History Illusion]: Miu Miu Women's Tales #14,2017,False
2,...And the Pursuit of Happiness,1986,False
3,...But Film is My Mistress,2010,False
4,13 Days in France,1968,False
5,16 Days of Glory,1986,False
6,2 Days in Paris,2007,False
7,2 or 3 Things I Know About Her,1967,True
8,2010,1984,False
9,21 Days,1940,False
10,3 Godfathers,1949,False
11,4 for Texas,1963,False
12,49th Parallel,1941,True
13,71 Fragments of a Chronology of Chance,1994,False
14,8 1/2,1963,False
15,A Brief History of Time,1991,True
16,A Brighter Summer Day,1991,True
17,A Canterbury Tale,1944,True
18,A Christmas Tale,2008,True
19,A Colt Is My Passport,1967,True
20,A Dancer's World,1957,False
21,A Day in the Country,1936,True
22,A Day with the Boys,1969,False
23,A Day's Pleasure,1919,False
24,A Dog's Life,1918,False
25,A Flame At the Pier,1962,False
26,A Fuller Life,2013,False
27,A Generation,1955,True
28,A Gentle Night,2017,False
29,A Hard Day's Night,1964,False
30,A Hen in the Wind,1948,False
31,A Kid For Two Farthings,1955,False
32,A King in New York,1957,False
33,A Legend or Was it?,1963,False
34,A Lesson in Love,1954,False
35,A Life of Her Own,1950,False
36,A Man Escaped,1956,True
37,A Man There Was,1917,False
38,A Married Couple,1969,True
39,A Master Builder,2014,True
40,A Mighty Wind,2003,False
41,A Modern Coed,1966,False
42,A Mother Should Be Loved,1934,False
43,A Night to Remember,1958,True
44,A Nos Amours,1983,False
45,A Nous La Liberte,1931,False
46,A Page of Madness,1926,False
47,A Poem Is a Naked Person,1974,True
48,A Private Function,1984,False
49,A Quiet Life,1995,False
50,A Report on the Party and the Guests,1966,False
51,A River Called Titas,1973,True
52,A Room with a View,1986,True
53,A Short Film About Killing,1988,False
54,A Short Film About Love,1988,False
55,A Simple Curve,2005,False
56,A Slightly Pregnant Man,1973,False
57,A Song is Born,1948,False
58,A Special Day,1977,True
59,A Star is Born,1954,False
60,A Star is Born,1937,False
61,A Star is Born,1976,False
62,A Stolen Life,1946,False
63,A Story from Chikamatsu,1954,True
64,A Story of Floating Weeds,1934,True
65,A Straightforward Boy,1929,False
66,A Taste of Honey,1961,True
67,A Taxing Woman,1987,False
68,A Taxing Woman's Return,1988,False
69,A Touch of Zen,1971,True
70,A Turning Point,1984,False
71,A Walk in the Sun,1946,False
72,A Well Spent Life,1971,False
73,A Woman of Affairs,1928,False
74,A Woman of Paris,1923,False
75,A Woman Under the Influence,1974,True
76,A Woman's Face,1938,False
77,A Woman's Face,1941,False
78,ABBA: The Movie,1977,False
79,Above Suspicion,1943,False
80,"Acera, or the Witches' Dance",1972,False
81,Across The Pacific,1942,False
82,Across the Universe,2007,False
83,Across to Singapore,1928,False
84,Action in the North Atlantic,1943,False
85,Adam's Rib,1949,False
86,Adventures of a Dentist,1965,False
87,Adventures on the New Frontier,1961,False
88,Aimée and Jaguar,1999,False
89,Alain Mimoun,1959,False
90,Alambrista,1977,False
91,Alexander Nevsky,1938,True
92,Ali: Fear Eats the Soul,1974,True
93,Alice Adams,1935,False
94,Alice In The Cities,1974,False
95,Alice's Mysterious Mystery,1926,False
96,All Monsters Attack,1969,False
97,All My Good Countrymen,1969,False
98,All Night Long,1963,True
99,All Screwed Up,1974,False
100,All The Boys Are Called Patrick,1959,False
101,All These Women,1964,True
102,All Through the Night,1942,False
103,Always For Pleasure,1978,False
104,Amarcord,1973,True
105,An Act of Love,2018,False
106,An Actor's Revenge,1963,False
107,An Angel at My Table,1990,True
108,An Autumn Afternoon,1962,True
109,An Eastern Westerner,1920,False
110,An Enemy of the People,1989,True
111,An Exercise in Discipline: Peel,1982,False
112,An Ideal Husband,1947,False
113,An Inn in Tokyo,1935,False
114,An Innocent Witch,1965,False
115,Anchors Aweigh,1945,False
116,And Everything Is Going Fine,2010,True
117,And God Created Woman,1956,True
118,And the Ship Sails On,1984,True
119,And the Whole Sky Fit in the Dead Cow's Eye,2016,False
120,Andrei Rublev,1966,True
121,Androcles and the Lion,1952,True
122,Ankur,1974,False
123,Anna Boleyn,1920,False
124,Anna Karenina,1948,False
125,Anne-Marie,1936,False
126,Annie Oakley,1935,False
127,Antichrist,2009,True
128,Antoine and Colette,1962,False
129,Antonio Gaudi,1984,False
130,Aparajito,1956,True
131,Apart from You,1933,True
132,Apostasy,1948,False
133,Appalachian Spring,1958,False
134,Apur Sansar,1959,True
135,Ariel,1989,True
136,Army,1944,True
137,Arrest Bulldog Drummond,1938,False
138,Arrowed,2014,False
139,Arsenic and Old Lace,1944,False
140,Art,2014,False
141,As Long As You've Got Your Health,1966,False
142,Ashes And Diamonds,1958,False
143,Ask Father,1919,False
144,Asparagus,1979,False
145,Assassin,1964,False
146,Assassin(s),1997,False
147,Atlanta's Olympic Glory,1997,False
148,Au hasard Balthazar,1966,True
149,Au Revoir Les Enfants,1987,False
150,Auntie Mame,1958,False
151,Autumn Sonata,1978,True
152,Baal,1970,True
153,Babette's Feast,1987,False
154,Babo 73,1964,True
155,Baby Doll,1956,False
156,Bachelor in Paradise,1961,False
157,Back to Bataan,1945,False
158,Bad Night for the Blues,2010,False
159,Ball of Fire,1941,False
160,Ballad of a Soldier,1959,True
161,Ballad of a Worker,1962,False
162,Ballad of Orin,1977,False
163,Bandits vs. Samurai Squadron,1978,False
164,Barrios Altos,1987,False
165,Bath House,2014,False
166,Battleground,1949,False
167,Bay of Angels,1963,True
168,Beautiful Days,1955,False
169,Beauty and the Beast,1946,True
170,Bed and Board,1970,True
171,Before the Rain,1994,True
172,Begone Dull Care,1949,False
173,Behind the White Glasses,2015,False
174,Being There,1979,True
175,Being Two Isn't Easy,1962,False
176,Belle de Jour,1967,False
177,Beloved Enemy,1936,False
178,Benny's Video,1992,False
179,Bergman Island,2006,True
180,Berlin Express,1948,False
181,Betty Blue,1986,False
182,Beware of a Holy Whore,1971,True
183,Beyond All Barriers,1989,False
184,Beyond the Hills,2012,True
185,Beyond the Law,1968,True
186,Bhumika,1977,False
187,Bicycle Thieves,1948,True
188,Bienvenido Mr. Marshall!,1952,False
189,Big Deal on Madonna Street,1958,True
190,Big Jim McLain,1952,False
191,"Big Joys, Small Sorrows",1986,False
192,"Billy Blazes, Esq.",1919,False
193,Billy Budd,1962,False
194,Billy Liar,1963,True
195,Bitter Rice,1949,True
196,Black Girl,1966,True
197,Black Hand,1950,False
198,Black Jesus,1968,False
199,Black Legion,1937,False
200,Black Lizard,1962,False
201,Black Moon,1975,True
202,Black Narcissus,1947,True
203,Black Orpheus,1959,True
204,Black Panthers,1968,True
205,Black River,1957,True
206,Black Something,2016,False
207,Black Sun,1964,True
208,Blaise Pascal,1972,True
209,Blind Chance,1981,True
210,Blithe Spirit,1945,True
211,Blood Alley,1955,False
212,Blood Simple,1984,True
213,Blossoms in the Dust,1941,False
214,Blow Up of “Blow-Up”,2016,False
215,Blue,1993,False
216,Bluebeard,1936,False
217,Bobby Bumps Starts for School,1917,False
218,Boccaccio '70,1962,False
219,Body Heat,1981,False
220,Boiling Point,1990,False
221,Bold King Cole,1936,False
222,Bonnie Prince Charlie,1948,False
223,Border Radio,1987,True
224,Boring Afternoon,1964,False
225,Borom Sarret,1963,False
226,Boudu Saved from Drowning,1932,True
227,Boy,1969,False
228,Boyhood,1951,False
229,Brainstorm,1983,False
230,Branded to Kill,1967,True
231,Breaker Morant,1980,True
232,Breaking the Waves,1996,True
233,Breathless,1960,True
234,Brief Encounter,1945,True
235,Bright Leaf,1950,False
236,Bringing Up Baby,1938,False
237,Broadway Rhythm,1944,False
238,Broken Drum,1949,False
239,Brothers and Sisters of the Toda Family,1941,False
240,Brute Force,1947,True
241,Bud Greenspan Presents Vancouver 2010: Stories of Olympic...,2010,False
242,Bud Greenspan's Athens 2004: Stories of Olympic Glory,2005,False
243,Bud Greenspan's Torino 2006: Stories of Olympic Glory,2007,False
244,Buena Vista Social Club,1999,True
245,Bulldog Drummond,1929,False
246,Bulldog Drummond at Bay,1937,False
247,Bulldog Drummond Comes Back,1937,False
248,Bulldog Drummond Escapes,1937,False
249,Bulldog Drummond in Africa,1938,False
250,Bulldog Drummond's Bride,1939,False
251,Bulldog Drummond's Peril,1938,False
252,Bulldog Drummond's Revenge,1937,False
253,Bulldog Drummond's Secret Police,1939,False
254,Bullitt,1968,False
255,Bullshot,1983,False
256,Bumping Into Broadway,1919,False
257,Bundle of Joy,1956,False
258,Burden of Dreams,1982,True
259,Burden of Life,1935,False
260,Burroughs: The Movie,1983,True
261,Butter Lamp,2013,False
262,Cabaret,1972,False
263,Caesar and Cleopatra,1945,True
264,Café au lait,1993,False
265,Cailleach,2014,False
266,Calcutta,1969,True
267,Calgary '88: 16 Days of Glory,1989,False
268,Call of Cuteness,2017,False
269,Camera Buff,1979,False
270,Cameraperson,2016,True
271,Canoa: A Shameful Memory,1976,True
272,Capricious Summer,1968,True
273,Capricorn One,1978,False
274,Captain Kidd's Kids,1919,False
275,Captains Courageous,1937,False
276,Caravaggio,1986,False
277,Carlos: Episode One,2010,False
278,Carlos: Episode Three,2010,False
279,Carlos: Episode Two,2010,False
280,Carlton-Browne of the F.O.,1960,False
281,Carmen Comes Home,1951,False
282,Carmen's Innocent Love,1952,False
283,Carnival in Flanders,1935,False
284,Carnival of Souls,1962,True
285,Carrots and Peas,1969,False
286,Cartesius: Part 1 (a.k.a. Descartes),1973,False
287,Cartesius: Part 2 (a.k.a. Descartes),1973,False
288,Cartoons on Tour,1915,False
289,Cash McCall,1960,False
290,Casque D'Or,1952,False
291,Casus belli,2010,False
292,Cat People,1942,True
293,Cemetery of Splendor,2015,False
294,Certified Copy,2010,True
295,Chafed Elbows,1965,True
296,Chains,1949,True
297,Chariots of Fire,1981,False
298,Charlotte et son Jules,1960,False
299,Charlotte Gray,2001,False
300,Charulata,1965,True
301,Checking Out,1989,False
302,Chevalier,2016,False
303,Chi è senza peccato...,1952,False
304,Children of Nagasaki,1983,False
305,Children of Paradise,1945,True
306,Chimes at Midnight,1965,True
307,Chinese Odyssey 2002,2002,False
308,Chinese Roulette,1976,False
309,Christopher Strong,1933,False
310,Chronicle of a Summer,1961,True
311,Chronicle of Anna Magdalena Bach,1968,False
312,Chungking Express,1994,True
313,"Ciao, Federico!",1970,False
314,Citizen Kane,1941,False
315,City Lights,1931,True
316,Claire's Knee,1970,False
317,"Clean, Shaven",1994,True
318,Close-Up,1990,False
319,Clouds of Sils Maria,2014,True
320,Cluny Brown,1946,False
321,Cléo from 5 to 7,1962,True
322,Coda,2013,False
323,Code Unknown,2000,True
324,Cold Dog Soup,1990,False
325,"Colonel Heeza Liar, Detective",1923,False
326,Colossal Youth,2006,True
327,Coma,1978,False
328,Come and See,1985,False
329,Come On Children,1972,True
330,Confidential Report,1955,False
331,Confidentially Yours,1983,False
332,Conflagration,1958,False
333,Conquest,1937,False
334,Conquest of the Air,1936,False
335,Convoy,1978,False
336,Cool Hand Luke,1967,False
337,Corridors of Blood,1959,True
338,Coup de Grâce,1976,False
339,Courage for Every Day,1964,False
340,Cours du soir,1967,False
341,"Cousin, Cousine",1975,False
342,Crazed Fruit,1956,True
343,Cries And Whispers,1972,False
344,Crime School,1938,False
345,Crisis,1946,True
346,Crisis: Behind a Presidential Commitment,1963,False
347,Critical Mass,1971,False
348,Cronos,1993,True
349,Crossing Delancey,1988,False
350,Cruel Gun Story,1964,True
351,Cruel Story of Youth,1960,False
352,Cry Terror!,1958,False
353,Cría cuervos . . .,1976,True
354,Cure,1997,False
355,César,1936,True
356,Daisies,1966,True
357,Daleks - Invasion Earth 2150 A.D.,1966,False
358,"Dance, Girl, Dance",1940,False
359,Danger Stalks Near,1957,False
360,Dangerous Liaisons,1988,False
361,Danton,1982,True
362,Daphnia,1928,False
363,Darby's Rangers,1958,False
364,Dark Passage,1947,False
365,Darling,1965,False
366,David Copperfield,1935,False
367,David Golder,1930,True
368,Day for Night,1973,True
369,Day of Wrath,1943,True
370,Daybreak Express,1953,False
371,Days of Glory,1944,False
372,Dead End,1937,False
373,Dead Man,1995,True
374,Dead Ringer,1964,False
375,Dead Ringers,1988,True
376,Death by Hanging,1968,True
377,Death Drums Along the River,1963,False
378,Death of a Cyclist,1955,True
379,Death Shadows,1986,False
380,Deathtrap,1982,False
381,December 7th,1943,False
382,Deep Crimson,1996,False
383,Deer Boy,2017,False
384,Demon Seed,1977,False
385,"Deprisa, Deprisa",1981,False
386,Derek,2008,False
387,Dersu Uzala,1975,False
388,Desert Hearts,1985,True
389,Designing Woman,1957,False
390,Destination Tokyo,1943,False
391,Destroy All Monsters,1968,False
392,Deux hommes dans Manhattan,1959,False
393,Devi,1960,False
394,Diabolique,1955,True
395,Dial M for Murder,1954,False
396,Diary of a Shinjuku Thief,1969,False
397,Diatoms,1968,False
398,Die Austernprinzessin,1919,False
399,Dillinger is Dead,1969,False
400,Dinky Doodle in Just Spooks,1925,False
401,Dinky Doodle in Lost and Found,1926,False
402,Divorce Italian Style,1962,True
403,Doctor Zhivago,1965,False
404,Documenteur,1981,True
405,Dodes'ka-den,1970,False
406,Dog Eat Dog,2008,False
407,Dogville,2003,False
408,Dollar,1938,True
409,Don Juan (Or if Don Juan Were a Woman),1973,False
410,Donkey Skin,1970,True
411,Donnie Brasco,1997,False
412,Dont Look Back,1967,True
413,Doodlebug,1997,False
414,Double Suicide,1969,True
415,Douce,1943,True
416,Dov’é la libertà…?,1954,False
417,Down By Law,1986,False
418,Down in the Delta,1998,False
419,Downhill,1927,False
420,Dr. Jack,1922,False
421,Dr. Jekyll and Mr. Hyde,1941,False
422,Dr. Jekyll and Mr. Hyde,1932,False
423,Dr. Who and the Daleks,1965,False
424,Dragnet Girl,1933,True
425,Dragon Inn,1967,True
426,Dreams,1955,True
427,Dreamscape,1984,False
428,Drugstore Cowboy,1989,False
429,Drunken Angel,1948,True
430,Dry Summer,1964,True
431,Dry Wood,1973,False
432,Du côté de la côte,1958,False
433,Duchess of Idaho,1950,False
434,Dumbland - Episode 1: The Neighbor,2002,False
435,Dumbland - Episode 2: The Treadmill,2002,False
436,Dumbland - Episode 3: The Doctor,2002,False
437,Dumbland - Episode 4: A Friend Visits,2002,False
438,Dumbland - Episode 5: Get the Stick!,2002,False
439,Dumbland - Episode 6: My Teeth Are Bleeding,2002,False
440,Dumbland - Episode 7: Uncle BOB,2002,False
441,Dumbland - Episode 8: Ants,2002,False
442,Dying at Grace,2003,True
443,Dégustation Maison,1978,False
444,Désiré,1937,True
445,Early Spring,1956,True
446,Early Summer,1951,True
447,Easy Living,1949,False
448,Eat Drink Man Woman,1994,False
449,Eating Raoul,1982,True
450,Edge of Darkness,1943,False
451,Edmond Was a Donkey,2012,False
452,Edward II,1991,False
453,"Edward, My Son",1949,False
454,Effi Briest,1974,False
455,Eijanaika,1981,False
456,Einstein's Universe,1979,False
457,El Sur,1983,True
458,El Topo,1970,False
459,Elena and Her Men,1956,True
460,Elephant Boy,1937,True
461,Elevator to the Gallows,1958,True
462,Emotion,1966,False
463,Empire of Passion,1978,True
464,En rachâchant,1982,False
465,Enchanted April,1991,False
466,Enchantment,1948,False
467,Endless Desire,1958,False
468,Endless Poetry,2016,False
469,Equinox,1970,True
470,Equinox Flower,1958,True
471,Eraserhead,1977,True
472,Europa,1991,True
473,Europa '51,1952,False
474,Europe '51,1952,False
475,Eva,1948,False
476,Evergreen,1934,False
477,Everlasting Moments,2008,True
478,Every Man For Himself,1980,False
479,Every-Night Dreams,1933,True
480,Everyone Off to Jail,1993,False
481,Everything Goes Wrong,1960,False
482,Evil Under the Sun,1982,False
483,Experiment Perilous,1944,False
484,Experimental Treatment of a Hemorrhage in a Dog,1930,False
485,Eyes Do Not Want to Close at All Times...,1970,False
486,Eyes Without a Face,1960,True
487,F for Fake,1973,False
488,Faces,1968,True
489,Faces of November,1964,False
490,Fall Guy,1982,False
491,Fallen Angels,1995,False
492,Fando and Lis,1967,False
493,Fanfan la Tulipe,1952,True
494,Fanny,1932,True
495,Fanny and Alexander: Episode 1,1982,False
496,Fanny and Alexander: Episode 2,1982,False
497,Fanny and Alexander: Episode 3,1982,False
498,Fanny and Alexander: Episode 4,1982,False
499,Fanny and Alexander: The Theatrical Version,1982,False
500,Fantastic Planet,1973,True
501,Far from the Madding Crowd,1967,False
502,Farewell to Dream,1956,False
503,Farewell to Spring,1959,False
504,"Farewell, My Lovely",1975,False
505,Fast Company,1938,False
506,Fat Girl,2001,True
507,"Fat, Bald, Short Man",2011,False
508,Father,1988,False
509,Fear,1954,False
510,Fear of a Black Hat,1993,False
